No.,storeNumber,countryCode,ownershipTypeCode,latitude,longitude,address,city,countrySubdivisionCode,postalCode,windowsTimeZoneId,GMT,GMT_region,Mon_open,Mon_close,Tue_open,Tue_close,Wed_open,Wed_close,Thu_open,Thu_close,Fri_open,Fri_close,Sat_open,Sat_close,Sun_open,Sun_close
14229,6946-209745,US,CO,38.973729,-105.03988,19590 E. Highway 24|A,woodland park,CO,80866,Mountain Standard Time,GMT-07:00,America/Denver,05:00,20:30,05:00,20:30,05:00,20:30,05:00,20:30,05:00,20:30,05:30,20:30,05:30,20:30
14230,22340-195364,US,LS,33.267699,-116.95585,777 Harrahs Rincon Way,valley center,CA,92082,Pacific Standard Time,GMT-08:00,America/Los_Angeles,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00
14231,72610-26587,US,LS,42.035336,-91.649506,1030 Blaires Ferry Rd NE,cedar rapids,IA,524021220,Central Standard Time,GMT-06:00,America/Chicago,07:00,21:00,07:00,21:00,07:00,21:00,07:00,21:00,07:00,21:00,07:00,21:00,07:00,21:00
14232,9475-96688,US,CO,42.026645,-91.621515,4804 First Avenue NE,cedar rapids,IA,524023214,Central Standard Time,GMT-06:00,America/Chicago,05:00,21:00,05:00,21:00,05:00,21:00,05:00,21:00,05:00,21:30,05:00,21:30,05:00,21:00
14233,10364-100476,US,CO,42.034386,-91.679997,2615 Blairs Ferry Rd NE,cedar rapids,IA,524021802,Central Standard Time,GMT-06:00,America/Chicago,05:00,21:00,05:00,21:00,05:00,21:00,05:00,21:00,05:00,21:00,05:30,21:00,06:00,21:00
14234,60828-294910,US,CO,41.986798,-91.654083,1341 1st Avenue SE,cedar rapids,IA,52402,Central Standard Time,GMT-06:00,America/Chicago,04:30,20:00,04:30,17:30,04:30,20:00,04:30,20:00,04:30,20:00,05:30,20:00,05:30,20:00
14235,59745-293106,US,CO,42.032642,-91.582137,2791 7th Ave|Suite 100,marion,IA,52302,Central Standard Time,GMT-06:00,America/Chicago,05:00,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:00,20:00,06:00,20:00
14236,72913-93906,US,LS,42.037165,-91.572439,3600 Highway 151,marion,IA,52302,Central Standard Time,GMT-06:00,America/Chicago,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00
14237,21284-204384,US,LS,41.975238,-91.609589,4035 Mount Vernon Rd SE,cedar rapids,IA,52403,Central Standard Time,GMT-06:00,America/Chicago,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00
14238,25234-239985,US,LS,41.97404,-91.698464,1843 Johnson Ave NW,cedar rapids,IA,52405,Central Standard Time,GMT-06:00,America/Chicago,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00
14239,25231-237460,US,LS,41.956991,-91.658659,20 Wilson Ave SW,cedar rapids,IA,524045684,Central Standard Time,GMT-06:00,America/Chicago,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00
14240,10363-100477,US,CO,41.957656,-91.718058,3500 Williams Blvd. SW,cedar rapids,IA,524043122,Central Standard Time,GMT-06:00,America/Chicago,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00
14241,72613-22324,US,LS,41.94431,-91.717354,3400 Edgewood Rd,cedar rapids,IA,524047214,Central Standard Time,GMT-06:00,America/Chicago,07:00,21:00,07:00,21:00,07:00,21:00,07:00,21:00,07:00,21:00,07:00,21:00,07:00,21:00
14242,25607-241525,US,LS,41.722089,-91.604251,3285 Cross Park Road,coralville,IA,52241,Central Standard Time,GMT-06:00,America/Chicago,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00
14243,52428-278824,US,LS,41.691279,-91.598404,1441 Coral Ridge Ave,coralville,IA,52241,Central Standard Time,GMT-06:00,America/Chicago,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,20:00
14244,22469-220885,US,LS,41.682087,-91.591629,1914 8th St,coralville,IA,52241,Central Standard Time,GMT-06:00,America/Chicago,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00
14245,11789-105053,US,CO,41.679476,-91.590275,1815 2nd St,coralville,IA,522411890,Central Standard Time,GMT-06:00,America/Chicago,05:00,21:00,05:00,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:30,20:00,05:30,20:00
14246,25232-237676,US,LS,41.676581,-91.518834,1201 N Dodge St,iowa city,IA,52245,Central Standard Time,GMT-06:00,America/Chicago,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00
14247,2855-92721,US,CO,41.65827,-91.534391,228 S. Clinton Street,iowa city,IA,522404028,Central Standard Time,GMT-06:00,America/Chicago,05:30,20:00,05:30,20:00,05:30,20:00,05:30,20:00,05:30,20:00,05:30,20:00,05:30,20:00
14248,55719-289389,US,CO,41.646818,-91.541314,11 Hwy 1,iowa city,IA,522464243,Central Standard Time,GMT-06:00,America/Chicago,05:00,18:00,05:00,18:00,05:00,18:00,05:00,18:00,05:00,18:00,05:00,18:00,05:30,18:00
14249,21158-204245,US,LS,41.651164,-91.500777,812 South 1st Avenue,iowa city,IA,52245,Central Standard Time,GMT-06:00,America/Chicago,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00
14250,29665-254168,US,LS,41.642495,-91.529448,1720 Waterfront Drive,iowa city,IA,52240,Central Standard Time,GMT-06:00,America/Chicago,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00
14251,29814-248911,US,CO,29.620223,-95.568446,3613 South Main St,stafford,TX,774775406,Central Standard Time,GMT-06:00,America/Chicago,05:00,21:30,05:00,21:30,05:00,21:30,05:00,21:30,05:00,21:30,05:30,21:30,05:30,21:30
14252,6530-61459,US,CO,32.795115,-116.962754,124 W. Main Street|#100,el cajon,CA,920203963,Pacific Standard Time,GMT-08:00,America/Los_Angeles,05:00,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:30,20:00,05:30,20:00
14253,24582-235458,US,LS,32.807737,-116.959469,250 Broadway,el cajon,CA,92021,Pacific Standard Time,GMT-08:00,America/Los_Angeles,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00
14254,3417-276745,US,CO,32.804184,-116.950827,691 N. Mollison Ave.,el cajon,CA,920215619,Pacific Standard Time,GMT-08:00,America/Los_Angeles,04:30,22:00,04:30,22:00,04:30,22:00,04:30,22:00,04:30,22:00,04:30,22:00,04:30,22:00
14255,19357-193686,US,CO,32.808173,-116.958504,380 Broadway|101,el cajon,CA,920215465,Pacific Standard Time,GMT-08:00,America/Los_Angeles,04:30,22:30,04:30,22:30,04:30,22:30,04:30,22:30,04:30,22:30,04:30,22:30,04:30,22:30
14256,8943-92720,US,CO,32.780619,-116.956496,450 E. Chase Avenue,el cajon,CA,920206409,Pacific Standard Time,GMT-08:00,America/Los_Angeles,04:30,22:00,04:30,22:00,04:30,22:00,04:30,22:00,04:30,22:00,04:30,22:00,04:30,22:00
14257,79526-103367,US,LS,32.77879,-116.956831,1201 Avocado Ave.,el cajon,CA,920207704,Pacific Standard Time,GMT-08:00,America/Los_Angeles,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00
14258,9863-239232,US,CO,32.794124,-116.934873,225 Jamacha Road|101,el cajon,CA,920192360,Pacific Standard Time,GMT-08:00,America/Los_Angeles,04:30,22:30,04:30,22:30,04:30,22:30,04:30,22:30,04:30,22:30,04:30,22:30,04:30,22:30
14259,64610-295684,US,CO,32.806224,-116.936164,850 N. 2nd St.,el cajon,CA,92021,Pacific Standard Time,GMT-08:00,America/Los_Angeles,04:30,22:00,04:30,22:00,04:30,22:00,04:30,22:00,04:30,22:00,04:30,22:00,04:30,22:00
14260,9386-95416,US,CO,32.820315,-116.961964,1591 N. Magnolia Ave,el cajon,CA,920201283,Pacific Standard Time,GMT-08:00,America/Los_Angeles,04:30,22:00,04:30,22:00,04:30,22:00,04:30,22:00,04:30,22:00,04:30,22:00,05:00,22:00
14261,589-309,US,CO,32.800771,-117.00254,2740 Fletcher Parkway,el cajon,CA,920202110,Pacific Standard Time,GMT-08:00,America/Los_Angeles,04:45,21:30,04:45,21:30,04:45,21:30,04:45,21:30,04:45,21:30,04:45,21:30,04:45,21:30
14262,65451-299156,US,LS,32.786359,-117.005246,8920 Fletcher Parkway,la mesa,CA,91941,Pacific Standard Time,GMT-08:00,America/Los_Angeles,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00
14263,2999-93204,US,CO,32.80295,-117.006341,8898 Navajo Road|#D,san diego,CA,921192141,Pacific Standard Time,GMT-08:00,America/Los_Angeles,05:00,21:00,05:00,21:00,05:00,21:00,05:00,21:00,05:00,21:00,05:00,20:30,05:00,20:30
14264,47889-259845,US,LS,32.808521,-116.920209,1608 Broadway,el cajon,CA,92021,Pacific Standard Time,GMT-08:00,America/Los_Angeles,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00
14265,5222-417,US,CO,32.77878,-117.009788,5500 Grossmont Center Drive,la mesa,CA,919423016,Pacific Standard Time,GMT-08:00,America/Los_Angeles,05:00,20:30,05:00,20:30,05:00,20:30,05:00,20:30,05:00,20:30,05:30,20:30,05:30,20:30
14266,29556-99384,US,LS,32.779493,-117.012586,5500 Grossmont Center Dr,la mesa,CA,919423018,Pacific Standard Time,GMT-08:00,America/Los_Angeles,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
14267,14179-250715,US,CO,32.747089,-116.961442,3777 Avocado Blvd,la mesa,CA,919417301,Pacific Standard Time,GMT-08:00,America/Los_Angeles,05:00,22:00,05:00,22:00,05:00,22:00,05:00,22:00,05:00,22:00,05:00,22:00,05:00,21:00
14268,5953-277894,US,CO,32.776736,-117.016018,5335 Jackson Drive,la mesa,CA,91942,Pacific Standard Time,GMT-08:00,America/Los_Angeles,05:00,21:00,05:00,21:00,05:00,21:00,05:00,21:00,05:00,21:00,05:00,21:00,05:00,21:00
14269,49666-269984,US,CO,32.791152,-117.020782,6140 Lake Murray Blvd,la mesa,CA,919422502,Pacific Standard Time,GMT-08:00,America/Los_Angeles,04:30,21:30,04:30,21:30,04:30,21:30,04:30,21:30,04:30,21:30,04:30,21:30,05:00,21:00
